Time (s),Signal
0.45,-0.5877852522924756
0.455,0.051958457313477924
0.46,0.46930284219343754
0.465,0.525277224730081
0.47000000000000003,0.2196606996077914
0.47500000000000003,-0.3090169943749489
0.48,-0.8364751394573267
0.485,-1.1384378308808765
0.49,-1.076389749859459
0.495,-0.6505757718217913
0.5,-2.6942229581241772e-15
0.505,0.6505757718217868
0.51,1.0763897498594592
0.515,1.1384378308808796
0.52,0.83647513945733
0.525,0.3090169943749462
0.53,-0.2196606996077986
0.535,-0.5252772247300835
0.54,-0.46930284219343876
0.545,-0.051958457313475814
0.55,0.587785252292478
0.555,1.2252092420411695
0.56,1.635603622223842
0.5650000000000001,1.6800251437165652
0.5700000000000001,1.3582984950682588
0.5750000000000001,0.8090169943749399
0.58,0.25654267320954394
0.585,-0.07474983625128628
0.59,-0.046229463829137285
0.595,0.34199123359577277
0.6,0.9510565162951506
0.605,1.5563684134211044
0.61,1.933343767023839
0.615,1.9431712176096334
0.62,1.5858119807207471
0.625,0.9999999999999996
0.63,0.4102414761357952
0.635,0.04105818501932634
0.64,0.03123073443353408
0.645,0.38079790883615827
0.65,0.9510565162951575
0.655,1.5175617381807194
0.66,1.8558835687611719
0.665,1.827363196339017
0.67,1.432113177794485
0.675,0.8090169943749402
0.68,0.18272799048331811
0.685,-0.22208788887374264
0.6900000000000001,-0.26650941036646403
0.6950000000000001,0.04963873745622249
0.7000000000000001,0.5877852522924841
0.705,1.1236120472714588
0.71,1.4328101903968666
0.715,1.3768358078602296
0.72,0.9559098049771539
0.725,0.3090169943749478
0.73,-0.33909536512760896
0.735,-0.7636752017094256
0.74,-0.8257232827308507
0.745,-0.5249947327631599
0.75,-1.0411973715298856e-14
0.755,0.5249947327631546
0.76,0.8257232827308493
0.765,0.7636752017094287
0.77,0.33909536512761573
0.775,-0.30901699437493974
0.78,-0.9559098049771473
0.785,-1.3768358078602267
0.79,-1.432810190396868
0.795,-1.1236120472714641
0.8,-0.5877852522924767
0.805,-0.04963873745621772
0.81,0.26650941036646536
0.8150000000000001,0.22208788887373976
0.8200000000000001,-0.18272799048332422
0.8250000000000001,-0.8090169943749468
0.8300000000000001,-1.4321131777944913
0.835,-1.8273631963390142
0.84,-1.8558835687611737
0.845,-1.517561738180725
0.85,-0.9510565162951647
0.855,-0.38079790883616405
0.86,-0.03123073443353619
0.865,-0.04105818501932412
0.87,-0.4102414761357892
0.875,-0.9999999999999921
0.88,-1.5858119807207411
0.885,-1.9431712176096312
0.89,-1.9333437670238414
0.895,-1.5563684134211107
0.9,-0.9510565162951582
0.905,-0.3419912335957792
0.91,0.046229463829135176
0.915,0.07474983625128817
0.92,-0.2565426732095384
0.925,-0.8090169943749467
0.93,-1.3582984950682637
0.935,-1.6800251437165665
0.9400000000000001,-1.6356036222238393
0.9450000000000001,-1.2252092420411638
0.9500000000000001,-0.587785252292471
0.9550000000000001,0.051958457313482254
0.96,0.46930284219343577
0.965,0.5252772247300843
0.97,0.2196606996078046
0.975,-0.30901699437493957
0.98,-0.8364751394573249
0.985,-1.138437830880879
0.99,-1.0763897498594612
0.995,-0.6505757718217934
